#Radio detections and upper-limits of GRB 170817A/AT2017gfo/GW170817
#Units: d,str,GHz,GHz,mJy,mJy,bool,str,str
# index,dT,flux,flux_err_high,flux_err_low,freq,bandwidth,upper_limit,facility,reference,who_added_this
0,0.68,0.12,0.0,0.0,8.5,2.049,1,ATCA,arXiv:1710.05435,Om Sharan Salafia
1,0.68,0.15,0.0,0.0,10.5,2.049,1,ATCA,arXiv:1710.05435,Om Sharan Salafia
2,0.93,0.195,0.0,0.0,0.61,0.032,1,GMRT,arXiv:1710.05435,Om Sharan Salafia
3,1.39,0.0154,0.0,0.0,10.0,3.8,1,VLA,arXiv:1710.05435,Om Sharan Salafia
4,1.44,34.8,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
5,2.42,0.02,0.0,0.0,6.2,4.0,1,VLA,arXiv:1710.05435,Om Sharan Salafia
6,2.42,0.017,0.0,0.0,9.7,4.0,1,VLA,arXiv:1710.05435,Om Sharan Salafia
7,2.42,0.022,0.0,0.0,15.0,6.0,1,VLA,arXiv:1710.05435,Om Sharan Salafia
8,2.44,28.8,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
9,2.78,0.78,0.0,0.0,0.4,0.2,1,GMRT,arXiv:1710.05435,Om Sharan Salafia
10,2.93,0.098,0.0,0.0,1.2,0.4,1,GMRT,arXiv:1710.05435,Om Sharan Salafia
11,3.34,0.032,0.0,0.0,3.0,1.6,1,VLA,arXiv:1710.05435,Om Sharan Salafia
12,3.34,44.7,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
13,3.7,0.135,0.0,0.0,8.5,2.049,1,ATCA,arXiv:1710.05435,Om Sharan Salafia
14,3.7,0.099,0.0,0.0,10.5,2.049,1,ATCA,arXiv:1710.05435,Om Sharan Salafia
15,5.35,0.019,0.0,0.0,6.2,4.0,1,VLA,arXiv:1710.05435,Om Sharan Salafia
16,8.37,37.5,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
17,10.37,0.0078,0.0026,0.0026,6.2,4.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
18,10.65,0.054,0.0,0.0,8.5,2.049,1,ATCA,arXiv:1710.05435,Om Sharan Salafia
19,10.65,0.039,0.0,0.0,10.5,2.049,1,ATCA,arXiv:1710.05435,Om Sharan Salafia
20,11.92,0.123,0.0,0.0,0.7,0.4,1,GMRT,arXiv:1710.05435,Om Sharan Salafia
21,13.45,0.023,0.0,0.0,6.2,4.0,1,VLA,arXiv:1710.05435,Om Sharan Salafia
22,13.45,20.4,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
23,13.93,0.6,0.0,0.0,0.4,0.2,1,GMRT,arXiv:1710.05435,Om Sharan Salafia
24,15.37,0.013,0.0,0.0,6.2,4.0,1,VLA,arXiv:1710.05435,Om Sharan Salafia
25,15.37,11.4,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
26,16.36,11.7,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
27,16.42,0.0187,0.0063,0.0063,3.0,2.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
28,16.48,0.0283,0.0054,0.0054,6.2,4.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
29,17.39,0.0151,0.0039,0.0039,3.0,2.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
30,17.4,6.9,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
31,18.33,0.0145,0.0037,0.0037,3.0,2.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
32,18.66,0.025,0.006,0.006,7.25,4.098,0,ATCA,arXiv:1710.05435,Om Sharan Salafia
33,18.99,0.14,0.0,0.0,0.7,0.4,1,GMRT,arXiv:1710.05435,Om Sharan Salafia
34,19.35,0.0159,0.0055,0.0055,6.2,4.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
35,21.36,0.0136,0.0029,0.0029,6.2,4.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
36,21.36,8.1,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
37,22.36,0.0225,0.0034,0.0034,3.0,2.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
38,22.37,6.3,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
39,23.36,4.8,0.0,0.0,0.3387,0.034,1,VLITE/VLA,arXiv:1710.05435,Om Sharan Salafia
40,23.36,0.0226,0.0034,0.0034,6.0,4.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
41,24.26,0.0256,0.0029,0.0029,3.0,2.0,0,VLA,arXiv:1710.05435,Om Sharan Salafia
